"Municipality","Age","2011 Natives Males","2011 Natives Females","2011 Immigrants Males","2011 Immigrants Females","2021 Natives Males","2021 Natives Females","2021 Immigrants Males","2021 Immigrants Females"
"Kopavogsbaer","20 years",95,86,..,3,125,119,3,3
"Kopavogsbaer","21 years",127,86,2,2,110,112,3,4
"Kopavogsbaer","22 years",91,78,5,7,99,85,3,12
"Kopavogsbaer","23 years",81,78,3,5,102,101,9,14
"Kopavogsbaer","24 years",85,52,3,4,94,82,9,16
"Kopavogsbaer","25 years",51,69,3,12,83,94,12,13
"Kopavogsbaer","26 years",61,49,1,6,95,103,11,16
"Kopavogsbaer","27 years",55,56,5,3,101,91,13,14
"Kopavogsbaer","28 years",65,67,5,6,90,89,14,11
"Kopavogsbaer","29 years",75,63,8,12,89,78,16,11
"Kopavogsbaer","30 years",68,61,10,4,119,117,14,10
"Kopavogsbaer","31 years",70,67,8,10,101,88,16,9
"Kopavogsbaer","32 years",64,53,14,3,101,96,22,18
"Kopavogsbaer","33 years",84,77,6,5,93,82,13,14
"Kopavogsbaer","34 years",56,77,3,14,83,93,13,14
"Kopavogsbaer","35 years",72,79,4,3,68,81,17,14
"Kopavogsbaer","36 years",59,88,5,2,92,92,15,13
"Kopavogsbaer","37 years",90,73,6,9,82,91,17,14
"Kopavogsbaer","38 years",76,100,2,9,109,92,19,13
"Kopavogsbaer","39 years",88,86,8,12,95,99,18,10
"Kopavogsbaer","40 years",87,100,7,7,105,88,15,10
"Kopavogsbaer","41 years",82,95,3,3,92,105,17,16
"Kopavogsbaer","42 years",90,83,3,3,97,93,13,7
"Kopavogsbaer","43 years",88,82,2,4,99,98,14,16
"Kopavogsbaer","44 years",86,100,2,4,87,102,12,8
"Kopavogsbaer","45 years",77,87,7,2,87,104,12,10
"Kopavogsbaer","46 years",88,100,1,2,115,91,7,6
"Kopavogsbaer","47 years",82,96,..,4,96,111,7,8
"Kopavogsbaer","48 years",83,101,3,2,109,121,19,14
"Kopavogsbaer","49 years",92,89,5,6,108,127,15,9
"Kopavogsbaer","50 years",73,86,4,2,88,112,12,5
"Kopavogsbaer","51 years",107,91,4,4,99,106,9,7
"Kopavogsbaer","52 years",93,90,2,2,108,92,6,7
"Kopavogsbaer","53 years",90,95,3,6,98,108,7,3
"Kopavogsbaer","54 years",84,105,1,4,93,96,6,7
"Kopavogsbaer","55 years",75,82,..,2,106,100,5,1
"Kopavogsbaer","56 years",77,101,7,5,86,95,1,6
"Kopavogsbaer","57 years",82,82,1,1,96,133,1,3
"Kopavogsbaer","58 years",89,72,1,5,105,86,4,4
"Kopavogsbaer","59 years",78,81,3,7,85,92,3,3
"Kopavogsbaer","60 years",72,91,4,3,113,91,2,8
"Kopavogsbaer","61 years",79,65,1,2,91,96,6,1
"Kopavogsbaer","62 years",69,79,2,2,83,103,5,2
"Kopavogsbaer","63 years",74,85,1,1,85,112,2,3
"Kopavogsbaer","64 years",67,78,1,1,86,86,..,2
"Kopavogsbaer","65 years",67,52,1,1,79,96,3,4
"Kopavogsbaer","66 years",60,65,3,..,90,96,1,1
"Kopavogsbaer","67 years",66,50,3,2,84,74,1,3
"Kopavogsbaer","68 years",50,65,1,..,73,86,..,5
"Kopavogsbaer","69 years",46,59,..,2,75,88,3,4
"Kopavogsbaer","70 years",34,58,1,4,68,67,1,1
"Kopavogsbaer","71 years",39,49,..,3,60,87,1,1
"Kopavogsbaer","72 years",44,40,1,3,59,87,..,1
"Kopavogsbaer","73 years",42,45,1,2,69,78,2,1
"Kopavogsbaer","74 years",36,39,2,3,65,62,1,2
"Kopavogsbaer","75 years",55,41,..,..,52,64,3,..
"Kopavogsbaer","76 years",29,33,1,4,60,60,2,3
"Kopavogsbaer","77 years",28,42,..,..,44,69,4,1
"Kopavogsbaer","78 years",24,36,1,1,42,55,..,2
"Kopavogsbaer","79 years",36,25,..,2,35,42,4,5
"Kopavogsbaer","80 years",37,32,1,3,37,44,..,1
"Kopavogsbaer","81 years",28,23,..,..,33,36,..,3
"Kopavogsbaer","82 years",22,31,..,1,33,38,1,2
"Kopavogsbaer","83 years",19,19,..,..,30,30,1,1
"Kopavogsbaer","84 years",14,20,1,1,41,34,1,..
"Kopavogsbaer","85 years",14,13,1,2,16,32,..,1
"Kopavogsbaer","86 years",11,12,..,..,13,33,1,..
"Kopavogsbaer","87 years",7,18,..,..,16,20,1,2
"Kopavogsbaer","88 years",5,5,..,..,15,13,..,..
"Kopavogsbaer","89 years",6,6,1,1,18,14,..,3
"Kopavogsbaer","90 years",3,3,..,..,9,8,..,..
"Kopavogsbaer","91 years",2,3,..,..,5,12,..,..
"Kopavogsbaer","92 years",..,4,..,..,9,11,..,..
"Kopavogsbaer","93 years",1,1,..,..,3,3,..,..
"Kopavogsbaer","94 years",..,2,..,..,2,4,..,1
"Kopavogsbaer","95 years",1,..,..,..,2,2,..,..
"Kopavogsbaer","96 years",..,..,..,..,1,4,..,..
"Kopavogsbaer","97 years",..,..,..,..,..,..,..,1
"Kopavogsbaer","98 years",..,..,..,..,1,..,..,..
"Kopavogsbaer","99 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","100 years",..,..,..,..,..,1,..,..
"Kopavogsbaer","101 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","102 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","103 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","104 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","105 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","106 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","107 years",..,..,..,..,..,..,..,..
"Kopavogsbaer","108 years",..,..,..,..,..,..,..,..
"Seltjarnarnesbaer","In 1st year",212,202,..,..,174,175,..,..
"Seltjarnarnesbaer","1 years",226,241,..,..,176,184,3,4
"Seltjarnarnesbaer","2 years",228,209,2,4,198,185,1,5
"Seltjarnarnesbaer","3 years",239,229,3,2,190,150,5,4
"Seltjarnarnesbaer","4 years",213,187,3,5,182,152,7,6
"Seltjarnarnesbaer","5 years",184,227,5,6,177,164,13,8
"Seltjarnarnesbaer","6 years",180,193,7,5,202,171,2,8
"Seltjarnarnesbaer","7 years",201,171,9,9,183,184,5,9
"Seltjarnarnesbaer","8 years",177,202,1,9,213,192,10,8
"Seltjarnarnesbaer","9 years",161,188,5,5,211,197,13,4
"Seltjarnarnesbaer","10 years",189,167,7,3,207,232,10,12
