Municipality,Age_Group,Background,Year,Sex,Population
Arneshreppur,65 and over,Immigrants,2011,Males,2
Arneshreppur,65 and over,Immigrants,2021,Females,1
Arneshreppur,65 and over,Immigrants,2021,Males,1
Arneshreppur,65 and over,Natives,2011,Females,39
Arneshreppur,65 and over,Natives,2011,Males,56
Arneshreppur,65 and over,Natives,2021,Females,51
Arneshreppur,65 and over,Natives,2021,Males,61
Asahreppur,0-15,Immigrants,2011,Females,1
Asahreppur,0-15,Immigrants,2011,Males,0
Asahreppur,0-15,Immigrants,2021,Females,0
Asahreppur,0-15,Immigrants,2021,Males,0
Asahreppur,0-15,Natives,2011,Females,53
Asahreppur,0-15,Natives,2011,Males,68
Asahreppur,0-15,Natives,2021,Females,31
Asahreppur,0-15,Natives,2021,Males,44
Asahreppur,16-24,Immigrants,2011,Females,1
Asahreppur,16-24,Immigrants,2011,Males,0
Asahreppur,16-24,Immigrants,2021,Females,2
Asahreppur,16-24,Immigrants,2021,Males,1
Asahreppur,16-24,Natives,2011,Females,31
Asahreppur,16-24,Natives,2011,Males,30
Asahreppur,16-24,Natives,2021,Females,19
Asahreppur,16-24,Natives,2021,Males,21
Asahreppur,25-34,Immigrants,2011,Females,0
Asahreppur,25-34,Immigrants,2011,Males,1
Asahreppur,25-34,Immigrants,2021,Females,8
Asahreppur,25-34,Immigrants,2021,Males,3
Asahreppur,25-34,Natives,2011,Females,21
Asahreppur,25-34,Natives,2011,Males,26
Asahreppur,25-34,Natives,2021,Females,21
Asahreppur,25-34,Natives,2021,Males,18
Asahreppur,35-44,Immigrants,2011,Females,1
Asahreppur,35-44,Immigrants,2011,Males,2
Asahreppur,35-44,Immigrants,2021,Females,2
Asahreppur,35-44,Immigrants,2021,Males,3
Asahreppur,35-44,Natives,2011,Females,27
Asahreppur,35-44,Natives,2011,Males,29
Asahreppur,35-44,Natives,2021,Females,15
Asahreppur,35-44,Natives,2021,Males,16
Asahreppur,45-54,Immigrants,2011,Females,0
Asahreppur,45-54,Immigrants,2011,Males,0
Asahreppur,45-54,Immigrants,2021,Females,3
Asahreppur,45-54,Immigrants,2021,Males,0
Asahreppur,45-54,Natives,2011,Females,38
Asahreppur,45-54,Natives,2011,Males,38
Asahreppur,45-54,Natives,2021,Females,20
Asahreppur,45-54,Natives,2021,Males,17
Asahreppur,55-64,Immigrants,2011,Females,0
Asahreppur,55-64,Immigrants,2011,Males,1
Asahreppur,55-64,Immigrants,2021,Females,0
Asahreppur,55-64,Immigrants,2021,Males,0
Asahreppur,55-64,Natives,2011,Females,20
Asahreppur,55-64,Natives,2011,Males,31
Asahreppur,55-64,Natives,2021,Females,39
Asahreppur,55-64,Natives,2021,Males,39
Asahreppur,65 and over,Immigrants,2011,Females,1
Asahreppur,65 and over,Immigrants,2011,Males,0
Asahreppur,65 and over,Immigrants,2021,Females,1
Asahreppur,65 and over,Immigrants,2021,Males,1
Asahreppur,65 and over,Natives,2011,Females,37
Asahreppur,65 and over,Natives,2011,Males,49
Asahreppur,65 and over,Natives,2021,Females,39
Asahreppur,65 and over,Natives,2021,Males,53
Blaskogabyggd,0-15,Immigrants,2011,Females,0
Blaskogabyggd,0-15,Immigrants,2011,Males,1
Blaskogabyggd,0-15,Immigrants,2021,Females,2
